,node_number,Orbit_type_I,Orbit_type_II,two_Orbit_type
0,0,21,16,1621
1,1,18,19,1819
2,2,15,16,1516
3,3,15,4,415
4,4,19,16,1619
5,5,18,16,1618
6,6,19,22,1922
7,7,15,18,1518
8,8,19,18,1819
9,9,15,1,115
10,10,15,19,1519
11,11,19,18,1819
12,12,15,19,1519
13,13,15,16,1516
14,14,18,15,1518
15,15,19,4,419
16,16,18,19,1819
17,17,22,19,1922
18,18,15,18,1518
19,19,22,19,1922
20,20,15,0,015
21,21,19,15,1519
22,22,18,15,1518
23,23,16,15,1516
24,24,18,19,1819
25,25,22,19,1922
26,26,18,15,1518
27,27,15,19,1519
28,28,19,15,1519
29,29,15,19,1519
30,30,16,17,1617
31,31,15,18,1518
32,32,16,19,1619
33,33,15,19,1519
34,34,19,15,1519
35,35,19,15,1519
36,36,15,19,1519
37,37,21,16,1621
38,38,16,19,1619
39,39,16,21,1621
40,40,15,16,1516
41,41,19,20,1920
42,42,18,15,1518
43,43,15,18,1518
44,44,19,15,1519
45,45,15,19,1519
46,46,18,15,1518
47,47,18,15,1518
48,48,22,19,1922
49,49,22,19,1922
50,50,19,15,1519
51,51,15,18,1518
52,52,15,18,1518
53,53,22,19,1922
54,54,19,22,1922
55,55,15,18,1518
56,56,18,15,1518
57,57,22,19,1922
58,58,15,18,1518
59,59,19,18,1819
60,60,18,15,1518
61,61,15,18,1518
62,62,18,19,1819
63,63,22,19,1922
64,64,19,22,1922
65,65,19,15,1519
66,66,19,18,1819
67,67,15,19,1519
68,68,19,15,1519
69,69,19,15,1519
70,70,18,19,1819
71,71,15,18,1518
72,72,19,15,1519
73,73,15,4,415
74,74,15,0,015
75,75,19,22,1922
76,76,19,15,1519
77,77,15,16,1516
78,78,19,22,1922
79,79,31,22,2231
80,80,22,20,2022
81,81,15,0,015
82,82,16,15,1516
83,83,19,20,1920
84,84,18,15,1518
85,85,21,20,2021
86,86,19,22,1922
87,87,19,15,1519
88,88,16,21,1621
89,89,19,18,1819
90,90,21,16,1621
91,91,22,20,2022
92,92,18,15,1518
93,93,19,15,1519
94,94,15,18,1518
95,95,19,15,1519
96,96,19,15,1519
97,97,21,16,1621
98,98,18,19,1819
99,99,4,15,415
100,100,18,4,418
101,101,15,18,1518
102,102,19,22,1922
103,103,18,15,1518
104,104,19,22,1922
105,105,15,19,1519
106,106,22,19,1922
107,107,15,19,1519
108,108,15,1,115
109,109,18,16,1618
110,110,16,18,1618
111,111,19,22,1922
112,112,18,19,1819
113,113,22,19,1922
114,114,22,20,2022
115,115,19,15,1519
116,116,15,18,1518
117,117,15,19,1519
118,118,19,18,1819
119,119,22,19,1922
120,120,22,19,1922
121,121,16,20,1620
122,122,21,23,2123
123,123,18,15,1518
124,124,15,18,1518
125,125,19,22,1922
126,126,15,0,015
127,127,15,18,1518
128,128,4,24,424
129,129,19,16,1619
130,130,15,18,1518
131,131,20,19,1920
132,132,16,21,1621
133,133,22,19,1922
134,134,19,15,1519
135,135,15,18,1518
136,136,18,15,1518
137,137,15,19,1519
138,138,19,18,1819
139,139,18,19,1819
140,140,0,1,01
141,141,18,15,1518
142,142,22,19,1922
143,143,15,19,1519
144,144,22,32,2232
145,145,15,19,1519
146,146,18,15,1518
147,147,19,15,1519
148,148,15,0,015
149,149,15,19,1519
150,150,15,0,015
151,151,22,20,2022
152,152,22,19,1922
153,153,15,19,1519
154,154,15,1,115
155,155,15,18,1518
156,156,21,16,1621
157,157,22,19,1922
158,158,22,19,1922
159,159,15,18,1518
160,160,15,18,1518
161,161,15,19,1519
162,162,19,15,1519
163,163,18,19,1819
164,164,15,19,1519
165,165,19,22,1922
166,166,18,19,1819
167,167,18,19,1819
168,168,19,15,1519
169,169,19,15,1519
170,170,15,16,1516
171,171,18,15,1518
172,172,18,15,1518
173,173,15,19,1519
174,174,19,16,1619
175,175,22,19,1922
176,176,19,22,1922
177,177,4,15,415
178,178,15,18,1518
179,179,18,15,1518
180,180,4,16,416
181,181,18,15,1518
182,182,15,19,1519
183,183,19,22,1922
184,184,19,15,1519
185,185,19,18,1819
186,186,18,16,1618
187,187,19,15,1519
188,188,19,22,1922
189,189,15,19,1519
190,190,18,15,1518
191,191,15,0,015
192,192,15,16,1516
193,193,15,4,415
194,194,19,18,1819
195,195,15,19,1519
196,196,15,19,1519
197,197,18,15,1518
198,198,18,19,1819
199,199,15,18,1518
200,200,15,17,1517
201,201,19,15,1519
202,202,15,19,1519
203,203,15,29,1529
204,204,19,18,1819
205,205,18,19,1819
206,206,15,0,015
207,207,18,16,1618
208,208,15,18,1518
209,209,15,18,1518
210,210,15,24,1524
211,211,20,21,2021
212,212,22,19,1922
213,213,19,22,1922
214,214,22,19,1922
215,215,19,22,1922
216,216,19,22,1922
217,217,18,15,1518
218,218,22,19,1922
219,219,18,15,1518
220,220,16,15,1516
221,221,15,18,1518
222,222,15,19,1519
223,223,15,19,1519
224,224,18,15,1518
225,225,18,19,1819
226,226,17,1,117
227,227,19,15,1519
