,node_number,Orbit_type_I,Orbit_type_II,two_Orbit_type
0,0,22,54,2254
1,1,23,55,2355
2,2,23,55,2355
3,3,23,55,2355
4,4,23,55,2355
5,5,23,55,2355
6,6,23,55,2355
7,7,23,55,2355
8,8,23,55,2355
9,9,23,55,2355
10,10,23,55,2355
11,11,23,55,2355
12,12,23,55,2355
13,13,23,42,2342
14,14,23,55,2355
15,15,18,45,1845
16,16,23,55,2355
17,17,23,55,2355
18,18,23,55,2355
19,19,23,55,2355
20,20,23,55,2355
21,21,23,55,2355
22,22,23,55,2355
23,23,23,55,2355
24,24,23,55,2355
25,25,23,55,2355
26,26,23,55,2355
27,27,22,31,2231
28,28,23,55,2355
29,29,23,55,2355
30,30,23,55,2355
31,31,23,55,2355
32,32,23,55,2355
33,33,23,21,2123
34,34,23,55,2355
35,35,23,55,2355
36,36,23,55,2355
37,37,23,55,2355
38,38,23,55,2355
39,39,23,55,2355
40,40,23,55,2355
41,41,23,55,2355
42,42,23,55,2355
43,43,23,55,2355
44,44,23,55,2355
45,45,23,55,2355
46,46,23,55,2355
47,47,23,55,2355
48,48,23,55,2355
49,49,23,55,2355
50,50,23,55,2355
51,51,23,55,2355
52,52,23,55,2355
53,53,23,55,2355
54,54,23,55,2355
55,55,22,18,1822
56,56,23,55,2355
57,57,23,55,2355
58,58,23,55,2355
59,59,23,55,2355
60,60,23,55,2355
61,61,23,55,2355
62,62,23,55,2355
63,63,23,55,2355
64,64,23,55,2355
65,65,23,55,2355
66,66,23,55,2355
67,67,23,55,2355
68,68,23,55,2355
69,69,23,55,2355
70,70,23,21,2123
71,71,23,55,2355
72,72,23,21,2123
73,73,23,55,2355
74,74,23,42,2342
75,75,23,33,2333
76,76,23,42,2342
77,77,23,33,2333
78,78,23,55,2355
79,79,23,55,2355
80,80,23,55,2355
81,81,23,21,2123
82,82,23,55,2355
83,83,22,32,2232
84,84,23,55,2355
85,85,23,55,2355
86,86,23,21,2123
87,87,23,55,2355
88,88,23,55,2355
89,89,23,55,2355
90,90,23,55,2355
91,91,23,55,2355
92,92,23,55,2355
93,93,23,55,2355
94,94,23,55,2355
95,95,23,55,2355
96,96,23,55,2355
97,97,22,18,1822
98,98,23,55,2355
99,99,23,55,2355
100,100,23,55,2355
101,101,23,55,2355
102,102,21,23,2123
103,103,23,55,2355
104,104,23,55,2355
105,105,23,55,2355
106,106,23,21,2123
107,107,23,55,2355
108,108,23,55,2355
109,109,23,55,2355
110,110,23,55,2355
111,111,23,21,2123
112,112,23,55,2355
113,113,23,21,2123
114,114,23,42,2342
115,115,23,55,2355
116,116,23,55,2355
117,117,23,21,2123
118,118,23,55,2355
119,119,23,55,2355
120,120,23,55,2355
121,121,23,21,2123
122,122,23,55,2355
123,123,23,55,2355
124,124,23,55,2355
125,125,23,55,2355
126,126,23,55,2355
127,127,23,55,2355
128,128,23,42,2342
129,129,23,55,2355
130,130,23,55,2355
131,131,23,42,2342
132,132,23,55,2355
133,133,23,55,2355
134,134,23,42,2342
135,135,23,55,2355
136,136,23,33,2333
137,137,23,55,2355
138,138,23,55,2355
139,139,23,55,2355
140,140,23,42,2342
141,141,23,55,2355
142,142,23,55,2355
143,143,23,55,2355
144,144,23,55,2355
145,145,23,55,2355
146,146,23,21,2123
147,147,23,55,2355
148,148,23,55,2355
149,149,23,55,2355
150,150,22,18,1822
151,151,23,55,2355
152,152,23,42,2342
153,153,23,21,2123
154,154,23,21,2123
155,155,18,15,1518
156,156,18,19,1819
157,157,18,15,1518
158,158,22,18,1822
159,159,22,20,2022
160,160,22,20,2022
161,161,18,22,1822
162,162,22,31,2231
163,163,22,54,2254
164,164,16,18,1618
165,165,18,22,1822
166,166,15,18,1518
167,167,15,19,1519
168,168,18,15,1518
169,169,22,31,2231
170,170,22,18,1822
171,171,18,22,1822
172,172,22,31,2231
173,173,22,31,2231
174,174,22,31,2231
175,175,18,22,1822
176,176,22,18,1822
177,177,22,31,2231
178,178,22,20,2022
179,179,23,21,2123
180,180,22,31,2231
181,181,22,18,1822
182,182,23,21,2123
183,183,22,18,1822
184,184,18,22,1822
185,185,22,19,1922
186,186,18,22,1822
187,187,18,22,1822
188,188,18,22,1822
189,189,18,22,1822
190,190,18,22,1822
191,191,18,22,1822
192,192,18,22,1822
193,193,18,16,1618
194,194,18,22,1822
195,195,18,16,1618
196,196,18,22,1822
197,197,18,22,1822
198,198,22,18,1822
199,199,18,22,1822
200,200,22,32,2232
201,201,22,18,1822
202,202,18,22,1822
203,203,18,22,1822
204,204,18,22,1822
205,205,22,18,1822
206,206,18,22,1822
207,207,22,18,1822
208,208,22,18,1822
209,209,18,22,1822
210,210,18,16,1618
211,211,18,22,1822
212,212,22,20,2022
213,213,18,22,1822
214,214,22,18,1822
215,215,18,22,1822
216,216,18,22,1822
217,217,18,22,1822
218,218,22,18,1822
219,219,18,22,1822
220,220,18,22,1822
221,221,18,22,1822
222,222,22,18,1822
223,223,16,18,1618
224,224,22,20,2022
225,225,18,22,1822
226,226,22,18,1822
227,227,18,22,1822
228,228,22,18,1822
229,229,18,22,1822
230,230,18,22,1822
231,231,18,22,1822
232,232,18,22,1822
233,233,18,22,1822
234,234,18,22,1822
235,235,18,16,1618
236,236,18,22,1822
237,237,18,22,1822
238,238,18,22,1822
239,239,18,22,1822
240,240,22,18,1822
241,241,18,22,1822
242,242,18,22,1822
243,243,18,16,1618
244,244,18,22,1822
245,245,18,22,1822
246,246,18,22,1822
247,247,18,16,1618
248,248,22,18,1822
249,249,18,22,1822
250,250,22,18,1822
251,251,22,20,2022
252,252,18,22,1822
253,253,16,18,1618
254,254,18,22,1822
255,255,18,16,1618
256,256,18,22,1822
257,257,18,22,1822
258,258,16,18,1618
259,259,16,18,1618
260,260,18,22,1822
261,261,18,22,1822
262,262,18,22,1822
263,263,18,22,1822
264,264,18,22,1822
265,265,18,22,1822
266,266,22,18,1822
267,267,18,16,1618
268,268,18,22,1822
269,269,18,16,1618
270,270,23,21,2123
271,271,18,22,1822
272,272,18,22,1822
273,273,18,22,1822
274,274,22,20,2022
275,275,22,18,1822
276,276,18,16,1618
277,277,20,32,2032
278,278,18,16,1618
279,279,18,22,1822
280,280,18,22,1822
281,281,22,18,1822
282,282,22,19,1922
283,283,18,15,1518
284,284,22,31,2231
285,285,22,19,1922
286,286,22,18,1822
287,287,22,54,2254
288,288,18,22,1822
289,289,22,18,1822
290,290,22,18,1822
291,291,22,18,1822
292,292,22,18,1822
293,293,22,18,1822
294,294,22,18,1822
295,295,22,19,1922
296,296,22,18,1822
297,297,22,18,1822
298,298,22,15,1522
299,299,16,21,1621
300,300,22,18,1822
301,301,22,19,1922
302,302,22,19,1922
303,303,18,23,1823
304,304,23,18,1823
305,305,22,31,2231
306,306,22,18,1822
307,307,22,18,1822
308,308,18,22,1822
309,309,18,22,1822
310,310,22,18,1822
311,311,18,22,1822
312,312,22,18,1822
313,313,22,18,1822
314,314,18,22,1822
315,315,22,18,1822
316,316,22,18,1822
317,317,22,31,2231
318,318,18,22,1822
319,319,22,31,2231
320,320,22,18,1822
321,321,18,15,1518
322,322,18,15,1518
323,323,22,18,1822
324,324,22,18,1822
325,325,22,18,1822
326,326,22,18,1822
327,327,18,15,1518
328,328,18,22,1822
329,329,22,18,1822
330,330,18,15,1518
331,331,22,31,2231
332,332,22,18,1822
333,333,18,22,1822
334,334,18,15,1518
335,335,22,20,2022
336,336,22,18,1822
337,337,18,22,1822
338,338,22,31,2231
339,339,18,22,1822
340,340,22,20,2022
341,341,22,19,1922
342,342,22,18,1822
343,343,22,18,1822
344,344,22,18,1822
345,345,22,18,1822
346,346,22,18,1822
347,347,22,54,2254
348,348,18,22,1822
349,349,22,18,1822
350,350,22,18,1822
351,351,22,31,2231
352,352,22,32,2232
353,353,22,32,2232
354,354,22,18,1822
355,355,22,31,2231
356,356,22,18,1822
357,357,22,32,2232
358,358,22,31,2231
359,359,18,22,1822
360,360,18,22,1822
361,361,22,32,2232
362,362,22,32,2232
363,363,22,18,1822
364,364,18,22,1822
365,365,18,22,1822
366,366,22,32,2232
367,367,22,20,2022
368,368,22,18,1822
369,369,22,32,2232
370,370,22,54,2254
371,371,22,32,2232
372,372,18,22,1822
373,373,22,18,1822
374,374,22,32,2232
375,375,18,22,1822
376,376,22,54,2254
377,377,18,22,1822
378,378,22,32,2232
379,379,22,18,1822
380,380,22,31,2231
381,381,22,32,2232
382,382,18,15,1518
383,383,22,31,2231
384,384,22,31,2231
385,385,18,15,1518
386,386,22,18,1822
387,387,22,31,2231
388,388,22,31,2231
389,389,18,22,1822
390,390,18,22,1822
391,391,22,19,1922
392,392,22,18,1822
393,393,18,27,1827
394,394,18,27,1827
395,395,15,19,1519
396,396,22,15,1522
397,397,22,31,2231
398,398,15,18,1518
399,399,15,18,1518
400,400,18,27,1827
401,401,18,15,1518
402,402,19,15,1519
403,403,18,16,1618
404,404,22,19,1922
405,405,18,16,1618
406,406,18,27,1827
407,407,22,31,2231
408,408,22,18,1822
409,409,22,18,1822
410,410,22,18,1822
411,411,18,15,1518
412,412,15,18,1518
413,413,18,22,1822
414,414,18,22,1822
415,415,18,15,1518
416,416,18,15,1518
417,417,22,15,1522
418,418,18,15,1518
419,419,22,19,1922
420,420,22,18,1822
421,421,18,22,1822
422,422,22,18,1822
423,423,18,22,1822
424,424,22,54,2254
425,425,22,18,1822
426,426,22,31,2231
427,427,22,18,1822
428,428,22,18,1822
429,429,22,18,1822
430,430,22,18,1822
431,431,22,31,2231
432,432,22,18,1822
433,433,22,18,1822
434,434,22,18,1822
435,435,22,18,1822
436,436,22,18,1822
437,437,22,20,2022
438,438,18,22,1822
439,439,22,18,1822
440,440,22,18,1822
441,441,22,32,2232
442,442,18,22,1822
443,443,22,18,1822
444,444,18,22,1822
445,445,22,18,1822
446,446,18,22,1822
447,447,22,18,1822
448,448,22,31,2231
449,449,22,18,1822
450,450,22,20,2022
451,451,22,54,2254
452,452,22,18,1822
453,453,22,54,2254
454,454,22,31,2231
455,455,22,18,1822
456,456,22,31,2231
457,457,22,20,2022
458,458,22,18,1822
459,459,22,18,1822
460,460,22,18,1822
461,461,18,22,1822
462,462,22,18,1822
463,463,22,18,1822
464,464,18,22,1822
465,465,22,18,1822
466,466,22,18,1822
467,467,22,18,1822
468,468,22,18,1822
469,469,22,31,2231
470,470,22,18,1822
471,471,18,15,1518
472,472,22,18,1822
473,473,22,18,1822
474,474,22,18,1822
475,475,18,22,1822
476,476,18,22,1822
477,477,22,18,1822
478,478,22,18,1822
479,479,18,22,1822
480,480,22,18,1822
481,481,22,18,1822
482,482,22,18,1822
483,483,22,32,2232
484,484,22,18,1822
485,485,22,18,1822
486,486,22,18,1822
487,487,22,19,1922
488,488,22,18,1822
489,489,22,31,2231
490,490,22,18,1822
491,491,22,18,1822
492,492,22,18,1822
493,493,22,18,1822
494,494,22,31,2231
495,495,22,18,1822
496,496,22,18,1822
497,497,22,18,1822
498,498,22,18,1822
499,499,22,31,2231
500,500,22,19,1922
501,501,22,18,1822
502,502,22,18,1822
503,503,22,20,2022
504,504,18,22,1822
505,505,18,22,1822
506,506,22,18,1822
507,507,22,18,1822
508,508,22,54,2254
509,509,22,20,2022
510,510,22,18,1822
