budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.07333333333333333, 0.10327955589886445)","(0.8133333333333334, 0.13020130933435714)","(0.8133333333333334, 0.15976172734359606)","(0.5866666666666667, 0.1505545305418162)","(0.6799999999999999, 0.16561573424216502)","(0.5933333333333334, 0.07118052168020873)","(108.0766035562226, 6.470169019364454)","(1.5037931664846838, 0.6870545576867844)"
1,"(0.07333333333333333, 0.12227992865708154)","(0.8533333333333334, 0.0833809387832792)","(0.8866666666666667, 0.10600988273786194)","(0.5066666666666667, 0.15796322658258458)","(0.7066666666666667, 0.15796322658258458)","(0.6053333333333334, 0.0669612538996211)","(111.76796861801607, 6.097338323762604)","(1.605492157287275, 0.6796001312462349)"
2,"(0.06666666666666667, 0.08997354108424374)","(0.86, 0.09856107606091624)","(0.8466666666666667, 0.13020130933435714)","(0.5866666666666667, 0.1245945806357946)","(0.6866666666666666, 0.15976172734359606)","(0.6093333333333333, 0.0649688570082034)","(105.51493406112617, 6.084975807680754)","(1.418484648425753, 0.5577852769415261)"
2,"(0.08, 0.12649110640673517)","(0.84, 0.14040757000349274)","(0.8533333333333334, 0.14074631010979938)","(0.6133333333333333, 0.15976172734359606)","(0.7133333333333334, 0.16417180315870614)","(0.62, 0.07250615737399725)","(111.551484535976, 5.467914063612726)","(1.4875761647243053, 0.5719926389922514)"
3,"(0.12666666666666668, 0.12227992865708154)","(0.8533333333333334, 0.12459458063579462)","(0.8333333333333334, 0.12909944487358058)","(0.5066666666666666, 0.19444671200491873)","(0.7066666666666667, 0.15337473561121312)","(0.6053333333333333, 0.06988425805436817)","(105.3780409219054, 5.578145904527623)","(1.3973317192246517, 0.530359113760347)"
3,"(0.11333333333333333, 0.1245945806357946)","(0.84, 0.09856107606091626)","(0.8533333333333334, 0.12459458063579462)","(0.58, 0.15212776585113297)","(0.7, 0.14638501094227999)","(0.6173333333333333, 0.06881306631184295)","(111.51987914737934, 5.139459828631857)","(1.4945337346444527, 0.5776054024208368)"
4,"(0.1, 0.08451542547285167)","(0.8400000000000001, 0.10555973258234952)","(0.8333333333333334, 0.1543033499620919)","(0.54, 0.14040757000349274)","(0.7333333333333333, 0.1447493728911492)","(0.6093333333333333, 0.07126075524505222)","(105.43076076388049, 5.702271593851377)","(1.415168274892494, 0.5557465815638715)"
4,"(0.13333333333333333, 0.1543033499620919)","(0.86, 0.12983506020002017)","(0.8066666666666666, 0.15796322658258458)","(0.6266666666666667, 0.1162919151265879)","(0.72, 0.1424279266355945)","(0.6293333333333333, 0.06363586889108853)","(111.05726188067347, 5.500940786204512)","(1.5513084378403923, 0.6023954742472142)"
5,"(0.13333333333333333, 0.14960264830861913)","(0.8533333333333334, 0.11254628677422757)","(0.8533333333333334, 0.11872336794093274)","(0.6133333333333333, 0.14573295865416044)","(0.7, 0.14638501094227999)","(0.6306666666666667, 0.04463609472591606)","(105.23696069323147, 5.640866553415346)","(1.4103476328620066, 0.556741631935948)"
5,"(0.11333333333333334, 0.12459458063579461)","(0.86, 0.09856107606091623)","(0.8266666666666667, 0.1334523278535216)","(0.56, 0.145405835999994)","(0.7, 0.17320508075688773)","(0.612, 0.05845633290878634)","(109.50872187013738, 6.738929481059856)","(1.5381571683411797, 0.5967226657617477)"
