budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.013333333333333334, 0.051639777949432225)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0026666666666666666, 0.010327955589886447)","(175.5106470811569, 21.516633015919155)","(37.773753242272264, 17.254272253690566)"
2,"(0.0, 0.0)","(0.04, 0.07367883976130073)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.008, 0.014735767952260144)","(256.24220810752206, 48.93340656490592)","(37.74130422153588, 17.278244035378588)"
3,"(0.0, 0.0)","(0.06666666666666667, 0.08164965809277261)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.013333333333333334, 0.016329931618554522)","(337.0616018553226, 75.49803683429032)","(37.71318301833623, 17.25929661979539)"
4,"(0.0, 0.0)","(0.07333333333333333, 0.08837151016885368)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.014666666666666666, 0.017674302033770736)","(415.8277364486479, 102.3163435041381)","(37.62052183660368, 17.215840863782123)"
5,"(0.0, 0.0)","(0.08, 0.08618916073713347)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.016, 0.017237832147426694)","(499.90025773390664, 130.76258975222478)","(37.713860657073866, 17.264467691356007)"
1,"(0.0, 0.0)","(0.03333333333333333, 0.08997354108424374)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.006666666666666666, 0.017994708216848745)","(167.5124064811583, 21.367394003767593)","(38.01637698200066, 17.348799165566156)"
2,"(0.0, 0.0)","(0.04, 0.07367883976130073)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.008, 0.014735767952260144)","(244.55582054189097, 43.17049152908358)","(38.02282645914238, 17.417942551304776)"
3,"(0.0, 0.0)","(0.08, 0.11464230084422217)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.016, 0.022928460168844433)","(319.2663238353251, 71.94716422955925)","(37.940402948608, 17.336895718212403)"
4,"(0.0, 0.0)","(0.07333333333333333, 0.08837151016885368)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.014666666666666666, 0.017674302033770736)","(400.98816267959774, 94.0139518240957)","(38.018760017786796, 17.442860247884198)"
5,"(0.0, 0.0)","(0.08666666666666667, 0.11872336794093274)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.017333333333333333, 0.02374467358818655)","(484.93717722862493, 121.58425620280269)","(38.087006841545616, 17.53308388285098)"
