dataset,attack,budget,mean_gpu_mem_usage,std_gpu_mem_usage
cora,sga,1,105.6188928,10.695302999399072
cora,nettack,1,64.90851328,0.0269356771943837
cora,fga,1,331.02183424000003,0.0616189819688659
cora,pgdattack,1,417.62241536,0.0002142474022955
cora,prbcdattack,1,195.16937216,0.0003964585759553
cora,random_degree_attack,1,39.55346432,0.1009431324434079
cora,gottack,1,63.3150464,0.1346783859719156
cora,sga,5,89.65926912,10.394785908801904
cora,nettack,5,64.91232255999999,0.0377020942871781
cora,fga,5,356.20045824000005,0.0616189819688659
cora,pgdattack,5,417.62243584,0.0001987010224654
cora,prbcdattack,5,195.16991488,0.0003665909492593
cora,random_degree_attack,5,39.09180416,0.3783050490638992
cora,gottack,5,63.30742784,0.0456919207645894
citeseer,sga,1,92.14314496,12.208502003164003
citeseer,nettack,1,66.04105728,0.0269356771943817
citeseer,fga,1,413.56391424,0.0616189819688659
citeseer,pgdattack,1,499.78351616,0.0002412605806145
citeseer,prbcdattack,1,159.25409792,0.0002990818494193
citeseer,random_degree_attack,1,38.90089984,0.1435476021257596
citeseer,gottack,1,65.27502335999999,0.1565885580439266
citeseer,sga,5,92.10763264,13.844887561025276
citeseer,nettack,5,66.03776,0.0
citeseer,fga,5,438.55207424,0.0616189819688659
citeseer,pgdattack,5,499.97400064,0.0002322213722235
citeseer,prbcdattack,5,159.60736767999998,0.0003104912131936
citeseer,random_degree_attack,5,39.15682816,0.1626431284338483
citeseer,gottack,5,65.24643327999999,0.1082931396396943
pubmed,sga,1,92.53714944,11.167262358764466
pubmed,nettack,1,62.89811456,0.0377020942871767
pubmed,fga,1,328.77313024,0.0616189819688739
pubmed,pgdattack,1,415.37354752,0.0002577702061672
pubmed,prbcdattack,1,157.7039872,0.0004264924814541
pubmed,random_degree_attack,1,38.70316544,0.104120990261655
pubmed,gottack,1,62.509568,0.0
pubmed,sga,5,92.08285184,12.284472035781716
pubmed,nettack,5,62.89811456,0.0377020942871767
pubmed,fga,5,354.14221824000003,0.0616189819688659
pubmed,pgdattack,5,415.1830528,0.0002533742895716
pubmed,prbcdattack,5,157.8944512,0.0004740198910835
pubmed,random_degree_attack,5,38.68122112,0.2328305415901639
pubmed,gottack,5,62.51337728,0.0269356771943827
chameleon,sga,1,90.82381312,10.458347410829804
chameleon,nettack,1,65.74688256,0.0377020942871753
chameleon,fga,1,335.23457024000004,0.0616189819688659
chameleon,pgdattack,1,421.83502848,0.0002577702061672
chameleon,prbcdattack,1,196.01449984,0.0003964585759544
chameleon,random_degree_attack,1,39.56827136,0.1637394398334431
chameleon,gottack,1,64.98416639999999,0.1346783859719146
chameleon,sga,5,92.59795456,9.8224972467918
chameleon,nettack,5,65.74358528,0.0269356771943817
chameleon,fga,5,360.41319424,0.0616189819688739
chameleon,pgdattack,5,421.83518208,0.0001896079564388
chameleon,prbcdattack,5,196.01492992,0.0003524544747037
chameleon,random_degree_attack,5,39.01930496,0.3449448020605771
chameleon,gottack,5,64.98035712,0.0521961860146435
squirrel,sga,1,92.31244288,11.854561296646748
squirrel,nettack,1,64.25798655999999,0.0377020942871781
squirrel,fga,1,328.96359424,0.0616189819688739
squirrel,pgdattack,1,415.56410368,0.0002482550893287
squirrel,prbcdattack,1,131.65899776,0.0068818372563475
squirrel,random_degree_attack,1,37.82539264,0.1614104944363736
squirrel,gottack,1,62.53623296,0.0667595047856317
squirrel,sga,5,90.82350592,9.985165255044004
squirrel,nettack,5,64.26230783999999,0.0456919207645911
squirrel,fga,5,354.14221824000003,0.0616189819688659
squirrel,pgdattack,5,415.56414464,0.0002322213721977
squirrel,prbcdattack,5,131.65949952,0.0070923758842355
squirrel,random_degree_attack,5,37.8861568,0.1688097211708974
squirrel,gottack,5,62.5286144,0.1346783859719146
cora,sga,2,102.48196096,8.688936798805647
cora,nettack,2,64.90851328,0.0269356771943837
cora,fga,2,356.20045824000005,0.0616189819688659
cora,pgdattack,2,417.62241536,0.0002142474022955
cora,prbcdattack,2,195.00706816,0.0003827265960777
cora,random_degree_attack,2,39.52050176,0.3006641791106276
cora,gottack,2,63.29980928,0.0269356771943827
cora,sga,3,89.24987392,9.726371777629062
cora,nettack,3,64.904704,0.0
cora,fga,3,356.20045824000005,0.0616189819688659
cora,pgdattack,3,417.62240512,0.0002208865846268
cora,prbcdattack,3,195.16936192,0.0004551343304708
cora,random_degree_attack,3,39.51603712,0.2687051475296372
cora,gottack,3,63.31123712,0.0521961860146415
cora,sga,4,89.23575296,10.120477976426908
cora,nettack,4,64.91232255999999,0.0377020942871781
cora,fga,4,356.20045824000005,0.0616189819688659
cora,pgdattack,4,417.62240512,0.0002208865846268
cora,prbcdattack,4,195.1699456,0.0004987677877734
cora,random_degree_attack,4,39.55432448,0.228685285631982
cora,gottack,4,63.3150464,0.0577193082736772
citeseer,sga,2,90.09586176,12.396678964779852
citeseer,nettack,2,66.04486656,0.0377020942871753
citeseer,fga,2,438.74253824,0.0616189819688659
citeseer,pgdattack,2,500.1644544,0.0002370099455485
citeseer,prbcdattack,2,159.79731968,0.000292754228609
citeseer,random_degree_attack,2,39.317248,0.1606713095433265
citeseer,gottack,2,65.25405183999999,0.1397774138584395
citeseer,sga,3,89.01337088,10.667964228633858
citeseer,nettack,3,66.04486656,0.0377020942871753
citeseer,fga,3,438.74253824,0.0616189819688659
